,Title,genres,poster_path,Score,Fantasy,Adventure,Documentary,Thriller,Drama,War,Romance,Family,Animation,Crime,Mystery,Western,TV Movie,Comedy,Science Fiction,Action,Horror,Music,History
439,Gurgaon,"Crime,Thriller",/4JI2ghMz3tP5bC96rxpQUluMvfg.jpg,0.196780722512673,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3024,Peeples,Comedy,/6ZBSsBfxKK5GdTzz1BOKGl4BnzJ.jpg,0.196774193713551,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2811,Devil's Knot,"Crime,Drama,Thriller",/8DMDx7XMylIL7lpBEOMzIjuwhw0.jpg,0.19677138093280716,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
737,Ek Thi Daayan,"Horror,Romance,Thriller",/8ocg6GCtxuvyj5sMzIp7lwSpjEp.jpg,0.19676938368526695,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1738,Fast Color,"Thriller,Science Fiction",/2YAu2ctaxVGisdbmbbG35LXpQNp.jpg,0.19676159782670768,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1321,Bad Candy,Horror,/9HRQiPxTGsUpP9hqCC1R5D1gQZT.jpg,0.19675680186163919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2991,Love and Honor,"Drama,Romance",/9QWC9cluFEf7TM6fNU8q1VClhJT.jpg,0.19675276699225724,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
832,Shirin Farhad Ki Toh Nikal Padi,Romance,/lABo7DIWzX2tOKI6A9pcayCLw8j.jpg,0.19675183385308756,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2387,Pride and Prejudice and Zombies,"Romance,Horror,Comedy,Thriller",/jsJlOhVHiz1xXr36616EI8tJ4b2.jpg,0.19672395472423024,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
455,Chef,"Drama,Comedy,Family",/6GHPvxiy0Y7hnumdNubwsGqHTc1.jpg,0.19671175730956864,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1689,The Kid Who Would Be King,"Action,Adventure,Fantasy,Family",/kBuvLX6zynQP0sjyqbXV4jNaZ4E.jpg,0.196629517112941,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1295,Habit,"Crime,Thriller,Comedy",/piDplaWgc73jAuOohiFhTucBSYN.jpg,0.19662050717707116,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1660,I'm Your Woman,"Crime,Drama",/uTcJAxIV8BzNXuvcViBSibQSBid.jpg,0.19662042371350086,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
240,Kalank,"Drama,Romance",/ewDwp02kXUVWO2z0SYWhyzA7cNK.jpg,0.19660605734119307,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
631,Hate Story 3,"Thriller,Drama",/tJVh1ZHZNgR8nqV3j3iSy8fA6Bb.jpg,0.19659046401008282,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1646,Superintelligence,"Comedy,Science Fiction,Romance",/podzoGfamoxObotrMMoH2WIc8nj.jpg,0.19658606445508478,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
549,Beiimaan Love,"Thriller,Romance",/umMCtfuxCDtJMlrizf6rtnWrYSu.jpg,0.19657606480628834,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
634,Mr Joe B. Carvalho,Comedy,/ojSEyRapOfQBuyofrOwyMXoP244.jpg,0.19657328677251326,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
